Track Name,Method Name,Estimate Label,Window Size (s),Window Raster (s),Measurement Index,SDR (dB)
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,0,5.328150290021866
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,1,3.1848068723830507
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,2,11.378352022970724
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,3,6.747749239831044
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,4,6.28060490735337
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,5,2.4468042287127827
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,6,1.5107253183773173
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,7,5.219369473026995
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,8,6.09547595637811
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,9,2.362736296249836
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,10,-0.04801905109736061
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,11,2.8935628906068884
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,12,4.434762611755024
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,13,5.957854459233953
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,14,4.360148588391054
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,15,2.9619033850636676
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,16,4.2063804574991375
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,17,7.879920416336422
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,18,7.2162969015083664
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,19,2.8217908038874167
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,20,6.402543977691119
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,21,8.246053326953858
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,22,6.671849175930335
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,23,6.607041300558328
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,24,2.193792031142355
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,25,3.9298027138694858
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,26,7.427870835549388
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,27,9.37450061555104
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,28,4.250090166493254
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,1.0,29,2.170765149536714
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,0,8.605789618227199
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,1,10.039601102379255
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,2,7.104318329469535
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,3,7.805536192010773
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,4,6.368773203211299
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,5,8.027014684673379
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,6,7.719005352279521
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,7,6.895778940422169
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,8,8.383779072586009
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,9,5.701697078048925
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,10,6.118301243557363
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,11,9.671890866999814
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,12,2.0899812721567974
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,13,7.415109369863102
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,14,4.361012819260951
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,15,6.092556542118498
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,16,5.412559821776109
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,17,4.143578504743587
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,18,6.806843654344263
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,19,5.096174099979734
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,20,7.319023498061666
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,21,5.426951518753874
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,22,1.8629041445224144
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,23,-1.4294494329629273
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,24,1.254349321296434
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,25,1.8569853122470736
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,26,2.741508507932731
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,27,0.7882852702346677
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,28,9.148166053195045
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,29,8.069346292192902
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,0,5.328150290021866
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,1,8.12893298473388
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,2,3.1848068723830507
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,3,6.09459630713597
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,4,11.378352022970724
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,5,11.822677177708158
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,6,6.747749239831044
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,7,5.586038683139463
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,8,6.28060490735337
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,9,1.32292506350278
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,10,2.4468042287127827
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,11,2.867377147594628
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,12,1.5107253183773173
